id,keyword A,keyword C,exist_B,num_B,meaningful,keywords B
id1,mcconnell,cocaine,True,49, ,"[('million', 9), ('senate', 9), ('elaine', 9), ('year', 9), ('mitch', 9), ('chao', 9), ('colombia', 9), ('china', 9), ('dollar', 6), ('europe', 4), ('chinese', 4), ('united', 4), ('states', 4), ('maritime', 4), ('foremost', 4), ('marta', 4), ('pound', 4), ('washington', 4), ('james', 4), ('santa', 4), ('republican', 4), ('august', 4), ('corporation', 4), ('drug', 2), ('family', 2), ('schweizer', 2), ('peter', 2), ('virginia', 2), ('netherlands', 2), ('joe', 2), ('second', 2), ('blankenship', 2), ('transportation', 2), ('west', 2), ('american', 2), ('manchin', 2), ('ago', 2), ('don', 2), ('state', 2), ('new', 1), ('month', 1), ('colombian', 1), ('ping', 1), ('nation', 1), ('york', 1), ('liberia', 1), ('week', 1), ('post', 1), ('late', 1)]"
id1,mcconnell,senate,True,49, ,"[('million', 12), ('elaine', 12), ('year', 12), ('mitch', 12), ('chao', 12), ('colombia', 12), ('china', 12), ('maritime', 6), ('foremost', 6), ('europe', 6), ('washington', 6), ('pound', 6), ('marta', 6), ('james', 6), ('chinese', 6), ('santa', 6), ('republican', 6), ('united', 6), ('states', 6), ('august', 6), ('dollar', 6), ('cocaine', 6), ('corporation', 6), ('new', 2), ('month', 2), ('colombian', 2), ('ping', 2), ('nation', 2), ('york', 2), ('drug', 2), ('family', 2), ('schweizer', 2), ('peter', 2), ('virginia', 2), ('netherlands', 2), ('joe', 2), ('second', 2), ('blankenship', 2), ('transportation', 2), ('west', 2), ('american', 2), ('manchin', 2), ('ago', 2), ('don', 2), ('liberia', 2), ('week', 2), ('post', 2), ('late', 2), ('state', 2)]"
id1,mcconnell,find,False,0, ,[]
id1,mcconnell,majority,False,0, ,[]
id1,mcconnell,anti,False,0, ,[]
id1,mcconnell,ship,True,21, ,"[('million', 3), ('senate', 3), ('elaine', 3), ('year', 3), ('mitch', 3), ('chao', 3), ('colombia', 3), ('china', 3), ('dollar', 2), ('europe', 2), ('chinese', 2), ('united', 2), ('cocaine', 2), ('states', 2), ('corporation', 2), ('drug', 1), ('family', 1), ('schweizer', 1), ('peter', 1), ('liberia', 1), ('state', 1)]"
id1,mcconnell,cargo,False,0, ,[]
id1,mcconnell,leader,False,0, ,[]
id1,mcconnell,mitch,True,49, ,"[('million', 12), ('senate', 12), ('elaine', 12), ('year', 12), ('chao', 12), ('colombia', 12), ('china', 12), ('maritime', 6), ('foremost', 6), ('europe', 6), ('washington', 6), ('pound', 6), ('marta', 6), ('james', 6), ('chinese', 6), ('santa', 6), ('republican', 6), ('united', 6), ('states', 6), ('august', 6), ('dollar', 6), ('cocaine', 6), ('corporation', 6), ('new', 2), ('month', 2), ('colombian', 2), ('ping', 2), ('nation', 2), ('york', 2), ('drug', 2), ('family', 2), ('schweizer', 2), ('peter', 2), ('virginia', 2), ('netherlands', 2), ('joe', 2), ('second', 2), ('blankenship', 2), ('transportation', 2), ('west', 2), ('american', 2), ('manchin', 2), ('ago', 2), ('don', 2), ('liberia', 2), ('week', 2), ('post', 2), ('late', 2), ('state', 2)]"
id1,pound,cocaine,True,49, ,"[('million', 7), ('senate', 7), ('elaine', 7), ('year', 7), ('mitch', 7), ('mcconnell', 7), ('chao', 7), ('colombia', 7), ('china', 7), ('dollar', 4), ('maritime', 4), ('foremost', 4), ('marta', 4), ('washington', 4), ('james', 4), ('santa', 4), ('republican', 4), ('august', 4), ('europe', 3), ('chinese', 3), ('united', 3), ('states', 3), ('corporation', 3), ('virginia', 2), ('netherlands', 2), ('joe', 2), ('second', 2), ('blankenship', 2), ('transportation', 2), ('west', 2), ('american', 2), ('manchin', 2), ('ago', 2), ('don', 2), ('drug', 1), ('family', 1), ('schweizer', 1), ('peter', 1), ('new', 1), ('month', 1), ('colombian', 1), ('ping', 1), ('nation', 1), ('york', 1), ('liberia', 1), ('week', 1), ('post', 1), ('late', 1), ('state', 1)]"
