id,keyword A,keyword C,exist_B,num_B,keywords B
id4,bahama,million,True,1,"[('relief', 1)]"
id4,bahama,relief,True,1,"[('dorian', 1)]"
id4,bahama,donald,False,0,[]
id4,bahama,wake,False,0,[]
id4,bahama,dorian,True,1,"[('hurricane', 1)]"
id4,politician,trump,False,0,[]
id4,politician,money,False,0,[]
id4,politician,president,False,0,[]
id4,politician,donate,True,1,"[('relief', 1)]"
id4,politician,contribute,False,0,[]
id4,politician,hurricane,True,1,"[('trump', 1)]"
id4,politician,million,False,0,[]
id4,politician,relief,False,0,[]
id4,politician,donald,True,1,"[('trump', 1)]"
id4,politician,wake,False,0,[]
id4,politician,dorian,True,2,"[('trump', 2), ('relief', 1)]"
id4,trump,money,False,0,[]
id4,trump,president,False,0,[]
id4,trump,donate,True,2,"[('dorian', 2), ('relief', 1)]"
id4,trump,contribute,False,0,[]
id4,trump,hurricane,True,1,"[('dorian', 3)]"
id4,trump,million,False,0,[]
id4,trump,relief,True,1,"[('dorian', 2)]"
id4,trump,donald,False,0,[]
id4,trump,wake,False,0,[]
id4,trump,dorian,True,2,"[('relief', 1), ('hurricane', 1)]"
id4,money,president,False,0,[]
id4,money,donate,False,0,[]
id4,money,contribute,False,0,[]
id4,money,hurricane,False,0,[]
id4,money,million,False,0,[]
id4,money,relief,False,0,[]
id4,money,donald,False,0,[]
id4,money,wake,False,0,[]
id4,money,dorian,False,0,[]
id4,president,donate,True,1,"[('relief', 1)]"
id4,president,contribute,False,0,[]
id4,president,hurricane,True,1,"[('trump', 1)]"
id4,president,million,False,0,[]
id4,president,relief,False,0,[]
id4,president,donald,True,1,"[('trump', 1)]"
id4,president,wake,False,0,[]
id4,president,dorian,True,2,"[('trump', 2), ('relief', 1)]"
id4,donate,contribute,True,1,"[('relief', 1)]"
id4,donate,hurricane,True,2,"[('dorian', 2), ('bahama', 1)]"
id4,donate,million,True,1,"[('relief', 1)]"
id4,donate,relief,False,0,[]
id4,donate,donald,False,0,[]
id4,donate,wake,False,0,[]
id4,donate,dorian,True,1,"[('bahama', 1)]"
id4,contribute,hurricane,True,1,"[('trump', 1)]"
id4,contribute,million,False,0,[]
id4,contribute,relief,False,0,[]
id4,contribute,donald,True,1,"[('trump', 1)]"
id4,contribute,wake,False,0,[]
id4,contribute,dorian,True,2,"[('trump', 2), ('relief', 1)]"
id4,hurricane,million,True,1,"[('trump', 1)]"
id4,hurricane,relief,True,3,"[('dorian', 2), ('bahama', 1), ('trump', 1)]"
id4,hurricane,donald,True,1,"[('trump', 1)]"
id4,hurricane,wake,False,0,[]
id4,hurricane,dorian,True,2,"[('bahama', 1), ('trump', 1)]"
id4,million,relief,False,0,[]
id4,million,donald,True,1,"[('trump', 1)]"
id4,million,wake,False,0,[]
id4,million,dorian,True,2,"[('trump', 2), ('relief', 1)]"
id4,relief,donald,True,1,"[('trump', 1)]"
id4,relief,wake,False,0,[]
id4,relief,dorian,True,2,"[('trump', 2), ('bahama', 1)]"
id4,donald,wake,False,0,[]
id4,donald,dorian,True,1,"[('trump', 2)]"
id4,wake,dorian,False,0,[]
id5,sincerely,anthony,False,0,[]
id5,sincerely,fauci,True,4,"[('biden', 2), ('president', 2), ('I', 2), ('mean', 2)]"
id5,sincerely,biden,True,4,"[('fauci', 2), ('president', 2), ('I', 2), ('mean', 2)]"
id5,sincerely,president,True,4,"[('fauci', 2), ('biden', 2), ('I', 2), ('mean', 2)]"
id5,sincerely,december,False,0,[]
id5,sincerely,state,False,0,[]
id5,sincerely,joe,True,5,"[('fauci', 1), ('biden', 1), ('president', 1), ('I', 1), ('mean', 1)]"
id5,sincerely,de,False,0,[]
id5,sincerely,facto,False,0,[]
id5,anthony,fauci,False,0,[]
id5,anthony,biden,False,0,[]
id5,anthony,president,False,0,[]
id5,anthony,december,False,0,[]
id5,anthony,state,False,0,[]
id5,anthony,joe,False,0,[]
id5,anthony,de,False,0,[]
id5,anthony,facto,False,0,[]
id5,fauci,biden,True,4,"[('sincerely', 2), ('president', 2), ('I', 2), ('mean', 2)]"
id5,fauci,president,True,4,"[('sincerely', 2), ('biden', 2), ('I', 2), ('mean', 2)]"
id5,fauci,december,False,0,[]
id5,fauci,state,False,0,[]
id5,fauci,joe,True,5,"[('sincerely', 1), ('biden', 1), ('president', 1), ('I', 1), ('mean', 1)]"
id5,fauci,de,False,0,[]
id5,fauci,facto,False,0,[]
id5,biden,president,True,4,"[('sincerely', 2), ('fauci', 2), ('I', 2), ('mean', 2)]"
id5,biden,december,False,0,[]
id5,biden,state,False,0,[]
id5,biden,joe,True,5,"[('sincerely', 1), ('fauci', 1), ('president', 1), ('I', 1), ('mean', 1)]"
id5,biden,de,False,0,[]
id5,biden,facto,False,0,[]
id5,president,december,False,0,[]
id5,president,state,False,0,[]
id5,president,joe,True,5,"[('sincerely', 1), ('fauci', 1), ('biden', 1), ('I', 1), ('mean', 1)]"
id5,president,de,False,0,[]
id5,president,facto,False,0,[]
id5,december,state,False,0,[]
id5,december,joe,False,0,[]
id5,december,de,False,0,[]
id5,december,facto,False,0,[]
id5,state,joe,False,0,[]
id5,state,de,False,0,[]
id5,state,facto,False,0,[]
